WPS Index Rank,Country,Code,"Women, Peace, and Security Index",Region,Education,Employment,Financial Inclusion,Cell Phone Use,Parliamentary Representation,Absence of Legal Discrimination,Access to Justice,Maternal Mortality Ratio,Son Bias,Intimate partner violence ,Community Safety,Political Violence Targeting Women,Proximity to Conflict
67,Malaysia,MYS,0.738,EAP,11,60.6,87.5,94,14,60.6,2.6,26,106.5,7.4,36,0,0
68,Albania,ALB,0.731,CEE&CA,9.9,70.4,45.7,92,35.7,91.3,3.1,7,106.8,6.2,60,0.1,0
68,Fiji,FJI,0.731,EAP,10.4,44.4,75.9,93.9,9.1,82.5,3.1,30,107.1,23.2,77.9,0,0
70,Kuwait,KWT,0.723,MENA,8.4,40,73.5,100,3.1,38.1,2.7,8,104.7,8.2,84,0,0
70,Qatar,QAT,0.723,MENA,12.7,65.5,61.6,91.9,4.4,35.6,2.4,4,104.1,8.2,64.5,0,0
72,Kazakhstan,KAZ,0.722,CEE&CA,12.6,75.3,83.6,91,18.9,75.6,1.7,10,106.4,6,60,0,0
73,Viet Nam,VNM,0.721,EAP,8.5,82.6,52.8,98,31.4,88.1,2.1,48,110.6,9.5,86,0,0
74,Turkmenistan,TKM,0.72,CEE&CA,10.8,57.5,35.5,89,25.6,78.5,0.7,5,106.7,8.4,91,0,0
75,Russian Federation,RUS,0.718,CEE&CA,12.5,77.1,90.1,100,17,73.1,1.4,9,105.7,6.1,61,0,25.3
76,Puerto Rico,PRI,0.707,LAC,13.2,41.9,66.1,93,35,83.8,2.6,11,105.2,6.6,40,0.6,0
77,Sri Lanka,LKA,0.706,SA,10.7,40,89.3,87,9.8,65.6,2.4,18,104.4,4.1,57,0,0
78,Maldives,MDV,0.704,SA,7.4,53.2,74.2,83.7,3.2,73.8,2,32,105.1,6.1,43,0,0
79,Jamaica,JAM,0.703,LAC,10.2,75.9,71.6,93,31.3,74.4,3.1,130,103.9,7.3,60,1.3,0
80,Bolivia,BOL,0.701,LAC,9.2,79.2,63.3,86,48.2,88.8,2,146,104.2,18.3,43,0,1.8
80,Peru,PER,0.701,LAC,9.6,71.2,53,85,41.5,95,2.1,51,104.1,11.1,38,0.1,3.5
